UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.7577
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.7045
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5157
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.0554
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.0244
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	98.3995
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.0863
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.2079
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.5042
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.6313
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3582
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
	
	
	
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.2124
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.0828
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3641
Axis Corporate Debt Fund - Direct Plan Growth	15.4170
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.2059
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.4325
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2461
Axis Corporate Debt Fund - Regular Plan Growth	14.7312
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.4392
BANDHAN Corporate Bond Fund - Direct Growth	17.0694
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6707
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3642
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.3246
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.4554
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4239
BANDHAN Corporate Bond Fund - Regular Growth	16.6753
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0545
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6169
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.2413
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.4974
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.5655
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.3082
